X,Y,id,nom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-77.0340894978912,38.8974896885285,"7",batD1,"0","0","0","0",0.00000000000000,175.66808744950509
-77.0338416668254,38.8974888947851,"7",batD1,"1","0","0","1",0.00024783233686,134.78113524309751
-77.0338355475398,38.8969245409755,"7",batD1,"2","0","0","2",0.00081221932113,224.54334090652239
-77.034769758471,38.8969197784771,"7",batD1,"3","0","0","3",0.00174644239152,314.06085373406086
-77.0347748578756,38.897103928186,"7",batD1,"4","0","0","4",0.00193066269235,45.79782522887372
-77.0347463012096,38.8971023406906,"7",batD1,"5","0","0","5",0.00195926344958,46.11905468154760
-77.0347503807333,38.8973499895519,"7",batD1,"6","0","0","6",0.00220694590962,314.52812552567781
-77.0348023946607,38.8973499895519,"7",batD1,"7","0","0","7",0.00225895983701,315.00000000000000
-77.0348023946607,38.8974865135548,"7",batD1,"8","0","0","8",0.00239548383995,44.84165067250557
-77.0340843984866,38.8974904822719,"7",batD1,"9","0","0","9",0.00311349098252,175.41798612437867
-77.0340894978912,38.8974896885285,"7",batD1,"10","0","0","10",0.00311865179215,175.66808744950509
-77.0389058855793,38.8992927529994,"8",renwick,"1","0","0","1",0.00035392560633,134.53844882183324
-77.0389048656984,38.8990226881497,"8",renwick,"2","0","0","2",0.00062399238179,137.11686187258053
-77.0388946668891,38.8990218944235,"8",renwick,"3","0","0","3",0.00063422203049,138.20627629098999
-77.0388967066509,38.8989623649276,"8",renwick,"4","0","0","4",0.00069378646202,225.66677889632012
-77.0392582544403,38.8989583962928,"8",renwick,"5","0","0","5",0.00105535603221,314.68555070607624
-77.0392582544403,38.8990056230329,"8",renwick,"6","0","0","6",0.00110258277233,45.00000000000000
-77.0392347971789,38.8990056230329,"8",renwick,"7","0","0","7",0.00112604003371,44.39515113772296
-77.0392398965836,38.8992471138979,"8",renwick,"8","0","0","8",0.00136758473305,312.11329565176453
-77.0392592743213,38.8992883875214,"8",renwick,"10","0","0","10",0.00143039977068,315.34082275916660
-77.0349558867404,38.8993044604164,"9",treasury,"0","0","0","0",0.00000000000000,111.92857526842197
-77.0346341143073,38.8993064447242,"9",treasury,"1","0","0","1",0.00032177855149,135.06710921977194
-77.0346346242478,38.899246518605,"9",treasury,"2","0","0","2",0.00038170684026,135.03791072181971
-77.0343584914862,38.8992485029144,"9",treasury,"3","0","0","3",0.00065784673143,134.58813638285625
-77.0343564517243,38.8989648453243,"9",treasury,"4","0","0","4",0.00094151165536,224.73705012976569
-77.0349553768,38.8989636547339,"9",treasury,"5","0","0","5",0.00154043791440,314.85744592483502
-77.0349563966809,38.8993049564933,"9",treasury,"6","0","0","6",0.00188174119765,67.01963334870672
-77.0349558867404,38.8993044604164,"9",treasury,"7","0","0","7",0.00188245262694,111.92857526842197
-77.0343402611146,38.8996456613229,"10",building,"0","0","0","0",0.00000000000000,12.20848818888091
-77.0338379697569,38.8996456613229,"10",building,"1","0","0","1",0.00050229135762,135.10955529489675
-77.0338384796974,38.8995123163543,"10",building,"2","0","0","2",0.00063563730133,136.03819555782425
-77.0338262411262,38.8995119194939,"10",building,"3","0","0","3",0.00064788230531,135.86420157431755
-77.0338257311858,38.8992852126281,"10",building,"4","0","0","4",0.00087458974457,224.93556131138999
-77.03401695886,38.8992852126281,"10",building,"5","0","0","5",0.00106581741879,315.00000000000000
-77.03401695886,38.8993332328737,"10",building,"6","0","0","6",0.00111383766432,314.82444917912864
-77.034211246177,38.8993320422895,"10",building,"7","0","0","7",0.00130812862921,224.82444917912864
-77.034211246177,38.8993046588472,"10",building,"8","0","0","8",0.00133551207149,224.83236851148223
-77.0343468903406,38.8993038651241,"10",building,"9","0","0","9",0.00147115855731,314.69160226892063
-77.0343479102215,38.8995114234183,"10",building,"10","0","0","10",0.00167871935728,48.76921630537780
-77.0343392412337,38.8995102328371,"10",building,"11","0","0","11",0.00168746971925,49.01840842156068
-77.0343387312931,38.8996449668185,"10",building,"12","0","0","12",0.00182220466565,327.31691406250212
-77.0343402611146,38.8996456613229,"10",building,"13","0","0","13",0.00182388475194,12.20848818888091
